[B]1. 试带法应用PH指示剂蛋白质误差原理检测：
A. GLU
B. PRO
C. URO
D. KET
E. BIL

[A]2. 试带法主要检测的尿蛋白质是：
A. 白蛋白
B. 轻链
C. 重链
D. 视黄醇结合蛋白
E. 微球蛋白

[D]3. 试带法应用硝基铁氰化钠法检测：
A. GLU
B. PRO
C. URO
D. KET
E. BIL

[C]4. 一患者体查肾区有扣击痛，行尿检PRO+++，NIT+++，尿沉渣镜检见红细胞. 白细胞增加，可见闪光细胞及移行上皮细胞。提示该患者最可能是：
A. 急性肾小球肾炎
B. 急性间质性肾炎
C. 急性肾盂肾炎
D. 急性膀胱炎
E. 急性尿道炎

[D]5. 尿液干化学分析仪反映细菌含量的指标是：
A. GLU
B. PRO
C. BLD
D. NIT
E. WBC

[E]6. T-H蛋白来源于
A. 血浆蛋白
B. 膀胱
C. 尿道
D. 前列腺
E. 肾小管

[B]7. 尿量增多而比重增高的是
A. 尿崩症
B. 糖尿病
C. 慢性肾盂肾炎
D. 急性肾小球肾炎
E. 急性肾功能衰竭

[C]8. 尿试带法反应尿路感染的指示是：
A. GLU
B. PRO
C. NIT
D. KET
E. BIL

[D]9. 多发性骨髓瘤患者尿中主要出现
A. 白蛋白
B. T-H蛋白
C. Ig重链
D. Ig轻链
E. β球蛋白

[D]10. 可在女性尿液中出现但无明显意义的是
A. 白细胞
B. 脓细胞
C. 变形红细胞
D. 鳞状上皮细胞
E. 肾小管上皮细胞

[C]11. 急性肾小球肾炎时，尿中不易见到
A. 红细胞
B. 红细胞管型
C. 白细胞管型
D. 肾小管上皮细胞
E. 上皮细胞管型

[B]12. 不属于生理性尿液结晶的是
A. 草酸钙
B. 酪氨酸
C. 尿酸
D. 磷酸盐
E. 马尿酸

[A]13. 消化道出血粪便检查下列哪项描述是错误的
A. 消化道出血经粪便外观检查就可以查出
B. 上消化道出血. 粪便可呈暗红色或柏油样便
C. 鲜红色便可为小肠下段出血
D. 溃疡性结肠炎常为粘液血便
E. 消化道大量出血时免疫法检测因滞后现象而出现假阴性

[C]14. 关于血尿的临床意义哪项是错误的
A. 肾小球肾炎常见
B. 肾肿瘤可见
C. 过敏性紫癜不会出现
D. 尿道结石可引起血尿
E. 尿路畸形可引起血尿

[A]15. 24h尿量少于多少ml时，称少尿：
A. 400
B. 300
C. 200
D. 100
E. 50ml

[C]16. 做化学法粪隐血试验时，服用下列哪项不会出现假阳性
A. 肉类
B. 含有动物血的食物
C. 维生素c
D. 铁剂
E. 生食蔬菜

[A]17. 脑脊液若因穿刺损伤引起出血的标本的特点是：
A. 第1. 2. 3管红色逐渐变淡
B. 第1. 2. 3管红色逐渐变深
C. 第1管红色，第2. 3管无色
D. 第1. 3管红色，第2管无色
E. 第1管无色，第2. 3管红色

[A]18. 脑脊液静置24h后，出现薄膜状，常见于：
A. 结核性脑膜炎
B. 病毒性脑膜炎
C. 化脓性脑膜炎
D. 新型隐球菌脑炎
E. 流行性乙型脑炎

[A]19. 正常脑脊液中为主的细胞是：
A. 淋巴细胞
B. 单核细胞
C. 中性粒细胞
D. 脉络丛细胞
E. 室管膜细胞

[B]20. 在胸腹水中最常见的癌的类型是：
A. 鳞癌
B. 腺癌
C. 小细胞未分化癌
D. 类癌
E. 移形细胞癌

[E]21. 正常脑脊液蛋白电泳含量最高的是：
A. α1球蛋白
B. α2球蛋白
C. β球蛋白
D. γ球蛋白
E. 白蛋白

[A]22. 漏出液中的LD与血清LD的比值常：
A. ＜0.6
B. ＜ 0.5
C. ＜0.4
D. ＜0.3
E. ＜0.1

[D]23. 漏出液中蛋白质与血清蛋白质的比值常小于
A. 0.1
B. 0.2
C. 0.3
D. 0.5
E. 0.6

[D]24. 漏出性胸水常继发于：
A. 血胸
B. 胃穿孔
C. 胆汁漏出
D. 充血性心衰
E. 胸外伤细菌感染

[B]25. 脑脊液外观如毛玻璃样见于下列何种疾病
A. 化脓性脑膜炎
B. 结核性脑膜炎
C. 珠网膜下腔梗阻
D. 流行性乙型脑炎
E. 脑脊髓梅毒

[D]26. 化脓性脑膜炎患者脑脊液的特点是
A. 外观微混
B. 蛋白质（+）
C. 氯化物增高
D. 葡萄糖明显减低
E. 中性粒细胞轻度增加

[D]27. 不会使脑脊液变混浊的病理因素是：
A. 红细胞增多
B. 白细胞增多
C. 蛋白质浓度增高
D. 葡萄糖浓度增高
E. 大量细菌

[E]28. 符合自发性细菌性腹膜炎的腹水检验特点是
A. 漏出性腹水
B. 细胞总数小于200/μl
C. 蛋白质含量为20g/L
D. 乳酸脱氢酶含量为100U/L
E. 分类时，中性粒细胞为45%

[B]29. 胸水细胞分类计数时，淋巴细胞数达到65%，最常见的疾病是：
A. 细菌性肺炎
B. 结核病
C. 肺梗死
D. 气胸
E. 创伤

[C]30. 鉴别乳糜性和假性乳糜性胸水的项目为：
A. 细胞总数
B. 胆固醇含量
C. 甘油三酯含量
D. 淀粉酶含量
E. 白蛋白梯度
