[E]1. 关于胶乳凝集试验，说法错误的是
A. 是一种间接凝集试验
B. 敏感性较血凝试验要高
C. 可进行定性检测
D. 可进行半定量检测
E. 可进行定量检测

[C]2. 与Ⅱ型超敏反应发生无关的是：
A. 补体
B. 吞噬细胞
C. 肥大细胞
D. IgG
E. IgM

[A]3. 关于直接Coombs试验，说法错误的是
A. 检测血清中游离的不完全抗体
B. 可定性检测
C. 可作半定量分析
D. 可用于新生儿溶血检测
E. 可用于自身免疫性溶血性贫血的检测

[A]4. 在乙肝病毒标记物中对人体有保护作用的是：
A. 表面抗体（抗HBs）
B. 核心抗体（抗HBc）
C. DNA多聚酶（DNAP）
D. Dane颗粒
E. e抗体（抗HBe）

[B]5. 最常经母婴途径传播的病毒性肝炎是
A. 甲型肝炎
B. 乙型肝炎
C. 丙型肝炎
D.丁型肝炎
E. 戊型肝炎

[D]6. 人被乙型肝炎病毒感染后多表现为：
A. 慢性重型肝炎
B. 急性无黄疸型肝炎
C. 急性黄疸型肝炎
D. 隐性感染
E. 慢性肝炎

[E]7. 免疫缺陷病主要包括：
A. B细胞免疫缺陷
B. T细胞免疫缺陷
C. 吞噬细胞免疫缺陷
D. 补体缺陷
E. 以上四个方面

[D]8. 下列哪项属于Ⅳ型超敏反应的机制?
A. 过敏性休克
B. 血清病
C. 类风湿性关节炎
D. 结核菌素皮肤试验阳性
E. 系统性红斑狼疮

[A]9. 用异源性抗CD3mAb治疗排斥反应，最主要的并发症是
A. 血清病
B. 严重免疫缺陷
C. 皮肤肿瘤
D. GVHR
E. 食物过敏

[A]10. 慢性排斥反应的主要原因是
A. CD4+T细胞/巨噬细胞；
B. 抗ABO血型抗体或HLA-I类分子抗体
C. NK细胞
D. 抑制细胞的活化
E. 对HLA抗原的耐受

[E]11. 关于Ⅰ型超敏反应的叙述，下列哪项是错误的?
A. 由IgE介导的超敏反应
B. 肾上腺素治疗有效
C. 有明显的个体差异
D. 肥大细胞和嗜碱性粒细胞参与
E. 多在接触变应原48小时后发生

[D]12. 下列哪些细胞表达高亲和力的FcεRⅠ?
A. 单核细胞. 巨噬细胞
B. 中性粒细胞. 肥大细胞
C. 中性粒细胞. 嗜碱性粒细胞
D. 肥大细胞. 嗜碱性粒细胞
E. 嗜酸性粒细胞. 嗜碱性粒细胞

[C]13. 属于肿瘤特异性抗原的是
A. 胚胎抗原
B. 甲胎蛋白
C. 黑色素瘤抗原
D. 癌胚抗原
E. CA199

[E]14. 具有抗肿瘤效应的第一道防线是
A. Tc细胞
B. 中性粒细胞
C. TH细胞
D. B细胞
E. NK细胞

[B]15. 超急性排斥的效应物质是
A. B细胞
B. 抗体
C. Th1细胞
D. Th2细胞
E. 细胞因子

[D]16. 一般认为，急性体液性排斥的效应机制中没有下列哪种成分参加
A. 抗体
B. 补体
C. CD4+T细胞
D. CD8+T细胞
E. 抗原

[A]17. 无血缘关系的同种器官移植中，急性排斥反应难以避免的主要原因是：
A. HLA高度多态性
B. 移植物供血不足
C. 移植物中所含淋巴细胞过多
D. 移植物被污染
E. 受者与供者血型不和

[C]18. 与移植排斥反应无关的细胞是
A. Tc细胞
B. B细胞
C. 黏膜上皮细胞
D. Th1细胞
E. Th2细胞

[C]19. AIDS的免疫缺陷特征指标是：
A. CD4＋↑，CD8＋不变，CD4＋/CD8＋比值↑
B. CD4＋↑，CD8＋↓，CD4＋/CD8＋比值↑
C. CD4＋↓，CD8＋不变，CD4＋/CD8＋比值↓
D. CD4＋不变，CD8＋↓，CD4＋/CD8＋比值↑
E. CD4＋不变，CD8＋↑，CD4＋/CD8＋比值↓

[B]20. 原发性免疫缺陷病中最常见的是：
A. T淋巴细胞缺陷
B. B淋巴细胞缺陷
C. 联合免疫缺陷
D. 吞噬细胞缺陷
E. 补体缺陷

[C]21. GVHR主要见于
A. 肾脏移植
B. 心脏移植
C. 骨髓移植
D. 肺脏移植
E. 脾脏移植

[B]22. 抗体介导的超敏反应有：
A. Ⅰ. Ⅱ. Ⅳ型超敏反应
B. Ⅰ. Ⅱ. Ⅲ型超敏反应
C. Ⅰ. Ⅲ. Ⅳ型超敏反应
D. Ⅱ. Ⅲ. Ⅳ型超敏反应
