[E]1. 激活脂蛋白脂酶的载脂蛋白为：
A. apoAⅠ
B. apoB48
C. apoB100
D. apoCⅠ
E. apoCⅡ

[A]2. 激活卵磷脂胆固醇西氨基转移酶(LCAT)的载脂蛋白为：
A. apoAⅠ
B. apoB48
C. apoB100
D. apoCⅠ
E. apoCⅡ

[B]3. apo AⅠ激活：
A. HL
B. LCAT
C. ACAT
D. LPL
E. CETP

[D]4. apo CⅡ激活：
A. HL
B. LCAT
C. ACAT
D. LPL
E. CETP

[C]5. LDL主要含：
A. apoAⅠ
B. apoAⅡ
C. apo B100
D. apoC
E. apoE

[C]6. CM主要含：
A. apoAⅠ
B. apoB100
C. apo B48
D. apoC
E. apoE

[C]7. apoAⅠ存在于：
A. VLDL
B. LDL
C. HDL
D. CM
E. IDL

[E]8. 关于LDL叙述错误的是：
A. 在血浆由VLDL经IDL降解产生
B. 能与apoB，E受体识别结合
C. 其胆固醇及胆固醇酯含量最高
D. 其载脂蛋白主要为apoB100
E. 能逆向转运胆固醇
动物机体细胞外胆固醇主要来自：B
A. VLDL
B. LDL
C. HDL
D. 清蛋白
E. γ-球蛋白

[E]9. 血浆内催化脂酰基转移到胆固醇生成胆固醇酯的酶是：
A. 脂酸合成酶
B. 脂酰胆固醇酰基转移酶
C. 脂酰转移酶
D. 肉碱脂酰转移酶
E. 卵磷脂胆固醇酰基转移酶

[A]10. 脂蛋白依密度从大到小排列顺序是：
A. HDL. LDL. VLDL. CM
B. LDL. HDL. CM. VLDL
C. HDL. CM. LDL. VLDL
D. HDL. LDL. CM. VLDL
E. CM. VLDL. LDL. HDL

[D]11. 含甘油三脂最多的脂蛋白为：
A. VLDL
B. LDL
C. HDL
D. CM
E. IDL

[B]12. 含胆固醇最多的脂蛋白为：
A. VLDL
B. LDL
C. HDL
D. CM
E. IDL

[C]13. 含蛋白质成分最多的脂蛋白为:
A. VLDL
B. LDL
C. HDL
D. CM
E. IDL

[A]14. 转运内源性甘油三脂的脂蛋白是：
A. VLDL
B. LDL
C. HDL
D. CM
E. IDL

[D]15. 转运外源性甘油三脂的脂蛋白是：
A. VLDL
B. LDL
C. HDL
D. CM
E. IDL

[C]16. 血浆中胆固醇酯主要来自:
A. VLDL
B. LDL
C. HDL
D. CM
E. IDL

[C]17. HDL主要合成部位是：
A. 肠黏膜细胞
B. 脂肪细胞
C. 肝细胞
D. 肾小管上皮细胞
E. 血浆

[A]18. CM主要合成部位是：
A. 肠黏膜细胞
B. 脂肪细胞
C. 肝细胞
D. 肾小管上皮细胞
E. 血浆

[A]19. 对血浆脂蛋白进行琼脂糖凝胶电泳分类，从正极到负极，依次为：
A. α-脂蛋白，前β-脂蛋白，β-脂蛋白，γ-脂蛋白
B. 前β-脂蛋白，β-脂蛋白，α-脂蛋白，γ-脂蛋白
C. α-脂蛋白，β-脂蛋白，前β-脂蛋白，γ-脂蛋白
D. γ-脂蛋白，前β-脂蛋白，β-脂蛋白，α-脂蛋白
E. γ-脂蛋白，β-脂蛋白前，β-脂蛋白，α-脂蛋白

[C]20. 胞液内催化胆固醇酯化的酶是：
A. HL
B. LCAT
C. ACAT
D. LPL
E. CETP

[A]21. 有关血浆脂蛋白不正确的是：
A. 颗粒最大的是VLDL
B. 胆固醇含量最高的是LDL
C. 蛋白质含量最高的是HDL
D. 脂类含量最高的是CM
E. 密度最小的是CM

[D]22. Ⅰ型高脂蛋白血症为：
A. VLDL增高
B. LDL增高
C. HDL增高
D. CM增高
E. IDL增高

[B]23. Ⅱa型高脂蛋白血症为：
A. VLDL增高
B. LDL增高
C. HDL增高
D. CM增高
E. IDL增高

[B]24. Ⅱb型高脂蛋白血症为：
A. VLDL+CM增高
B. LDL+VLDL增高
C. HDL+CM增高
D. LDL+CM增高
E. IDL+VLDL增高

[E]25. Ⅲ型高脂蛋白血症为：
A. VLDL增高
B. LDL增高
C. HDL增高
D. CM增高
E. IDL增高

[A]26. Ⅳ型高脂蛋白血症为：
A. VLDL增高
B. LDL增高
C. HDL增高
D. CM增高
E. IDL增高

[A]27. Ⅴ型高脂蛋白血症为：
A. VLDL+CM增高
B. LDL+VLDL增高
C. HDL+CM增高
D. LDL+CM增高
E. IDL+VLDL增高

[D]28. 与冠心病呈负相关的监测项目为：
A. VLDL
B. LDL
C. 胆固醇
D. apoAⅠ
E. apoB100

[B]29. 与冠心病呈正相关的监测项目，除了：
A. 脂蛋白(a)
B. HDL
C. 胆固醇
D. LDL
E. apoB100

[E]30. LDL受体识别的配体为：
A. apoCⅡ
B. apoAⅠ
C. apoAⅡ
D. apoB48
E. apoB100
