[D]1. 自由水清除率等于或接近0，则提示
A. 肾脏具有稀释功能
B. 肾脏具有浓缩功能
C. 肾脏既具有稀释功能，也具有浓缩功能
D. 肾脏稀释和浓缩功能严重受损
E. 肾小管损伤较轻，预后良好

[A]2. 肾病综合征时产生的蛋白尿为
A. 肾小球性蛋白尿
B. 肾小管性蛋白尿
C. 溢出性蛋白尿
D. 组织性蛋白尿
E. 其他

[C]3. 肾小球性蛋白尿的发生原因
A. 肾小管髓襻吸收功能损伤
B. 肾近曲小管上皮细胞受损
C. 肾小球通透性增加
D. 肾远端小管上皮细胞受损
E. 血浆中低分子量蛋白过量

[A]4. 下列属于常见的肾小球性蛋白尿的是
A. 转铁蛋白   B 尿蛋白   C 视黄醇结合蛋白   D α1微球蛋白  E 结合珠蛋白

[C]5. 微量肾小球性蛋白尿的描述中，错误的是
A. 微量肾小球性蛋白尿是早期诊断肾小球损伤的敏感指标
B. 微量白蛋白和转铁蛋白是最常检测的肾小球性蛋白尿
C. 微量白蛋白尿对肾间质性肾病的诊断指标
D. 微量肾小球性蛋白尿对监测糖尿病肾病意义重大
E. 微量白蛋白尿是指24h尿蛋白量<200mg

[C]6. 关于血Cr和血尿素的描述，错误的是
A. 血尿素浓度取决于机体含氮化合物的分解代谢和肾脏的排泄功能
B. 血Cr和血尿素可以反应肾小球的滤过功能
C. 血Cr和血尿素是肾小球滤过功能损伤的敏感指标
D. 血Cr比血尿素更能转却地反应肾小球滤过功能
E. CCr比Cr和血尿素更好地反应肾小球滤过功能

[C]7. 反应肾小管功能损伤的指标是
A. 血清白蛋白
B. 血清前白蛋白
C. 尿β2-微球蛋白
D. 尿转铁蛋白
E. 血清C反应蛋白

[C]8. 某患者血Cr为88.4μmol/L,尿Cr浓度为4420μmol/L，24h尿量为1584ml，其GFR为
A. 25ml/min  B 50ml/min  C 55ml/min  D 75ml/min   E 155ml/min

[D]9. 莫氏实验的结果，下列哪一项为正常
A. 24h尿量>3000ml
B. 日间与夜间尿量比<2：1
C. 最高与最低尿比重差<0.009
D. 夜间尿比重>1.020
E. 各次尿比重固定在1.010

[C]10. 目前临床用于糖尿病肾病的早期诊断和监测的首选项目是
A. 尿中Na+浓度
B. 尿中K+浓度
C. 尿中微量白蛋白含量
D. Ccr
E. 血肌酐水平

[E]11. 关于选择性指数的分析，正确的是
A. 选择性蛋白尿往往提示肾小球损伤严重，预后不佳
B. SPI>0.2为选择性蛋白尿
C. SPI能够确定肾小球滤过膜损伤原因
D. 非选择性蛋白尿中含有少量的大分子蛋白尿
E. SPI与肾小球滤过膜损伤程度相关，也与病理类型相关

[E]12. 以下项目中可以反应肾小球滤过损伤，除外
A. 尿白蛋白  B 血Cr浓度   C  血尿酸   D CycS   E 尿酶

[E]13. 肾小管性蛋白尿和尿酶的描述中，错误的是
A. 都可以反应肾小管部位的损伤
B. NAG等对肾移植术后排斥反应的早期诊断较敏感
C. 肾小管性尿蛋白和尿酶的来源不同
D. 尿酶可以进行肾疾病的定位诊断
E. 两者都是小分子量蛋白质，可以自由通过肾小球滤过
