E1. 下列何种物质不宜用滤过法除菌
A. 血液
B. 血清
C. 抗生素
D. 维生素
E. 支原体

E2. 防止细菌污染培养基宜采用 
A. 消毒
B. 灭菌
C. 防腐
D. 无菌操作
E. 灭菌与无菌操作

D3. 杀灭包括芽胞在内的微生物的方法称
A. 防腐
B. 无菌
C. 消毒
D. 灭菌
E. 杀菌

C4. 高压蒸汽灭菌法通常在1.034×102kPa ¬¬¬的压力下维持 
A. 5分钟
B. 10分钟
C. 15~20分钟
D. 30分钟
E. 60分钟

E5. 手术室、无菌室的空气消毒,常采用下列哪种方法
A. 来苏尔喷洒
B. 高锰酸钾液喷洒
C. 70%酒精喷洒
D. 石炭酸喷洒
E. 紫外线照射

A6. 人和动物血清应该如何灭菌
A. 滤过除菌
B. 间歇灭菌
C. 低热灭菌
D. γ射线照射
E. 环氧乙烷

B7. 低温(40C)对一般细菌的作用是
A. 使毒力减弱
B. 使代谢减慢
C. 加速代谢
D. 杀菌
E. 消毒

C8. 判断灭菌是否彻底的依据是
A. 细菌繁殖体被完全杀死
B. 细菌菌毛蛋白变性  
C. 芽胞被完全杀死
D. 鞭毛蛋白被破坏 
E. 细菌的荚膜被破坏

C9. 影响化学消毒剂作用效果的因素中最不重要的是
A. 消毒剂浓度
B. 有机物的存在
C. 盐的存在
D. 温度
E. 酸碱度

B10. 紫外线杀菌的最佳波长为
A. 200nm
B. 265nm
C. 300nm
D. 560nm
E. 650nm

E11. 外科敷料使用前宜采用的灭菌方法是
A. 干烤
B. 紫外线照射
C. 焚烧
D. 巴氏消毒法
E. 高压蒸汽灭菌

B12. 将牛乳加热620C30分钟的目的是
A. 防腐
B. 消毒
C. 灭菌
D. 灭活病毒
E. 保鲜

A13. 实验室能用干烤法灭菌的物品是
A. 玻璃器皿
B. 滤菌器
C. 手术刀
D. 移液器头
E. 胶皮手套

E14. 能有效阻止细菌通过的玻璃滤器是
A. G1-G2
B. G2-G3
C. G3-G4
D. G4-G5
E. G5-G6

A15. 湿热灭菌法中效果最好的是:
A. 高压蒸汽灭菌法
B. 流通蒸汽灭菌法
C. 间歇灭菌法
D. 巴氏消毒法
E. 煮沸法

E16. 关于紫外线,下述哪项不正确?
A. 能干扰DNA合成
B. 消毒效果与作用时间有关 
C. 常用于空气、物品表面消毒
D. 对眼和皮肤有刺激作用 
E. 穿透力强

B17. 用于除菌的薄膜滤菌器,其滤膜孔径应为
A 0.12μm   B 0.22μm   C 0.525μm   D 0.72μm    E 0.95μm

B18. 下列哪种方法不能杀死细菌芽胞
A加压蒸汽灭菌法  B间歇蒸汽灭菌法  C流动蒸汽消毒  D干烤法  E焚烧法

E19. 玻璃器皿、瓷器干烤2小时灭菌的最佳温度是
A. l00~150°C
B. 160~170°C
C. 70~250°C  D250~300°C
E. 300~400°C

B20. 保存菌种最好的方法是
A. 4°C冰箱
B. 半固体培养基
C. 甘油盐水保存液
D. -20°C冰箱
E. 冷冻真空干燥法

E21. 滤过除菌法能除去下列哪种微生物
A. 结核杆菌L型
B. 肺炎支原体
C. 沙眼衣原体       
D. 大肠杆菌噬菌体
E. 霍乱弧菌

A22. 70%~75%乙醇的消毒灭菌机制是
A. 蛋白质变性和凝固
B. 损伤细胞膜
C. 灭活酶类
D. 氧化作用
E. 烷化作用

A23. 10%甲醛消毒灭菌的机制是
A. 蛋白质变性和凝固
B. 损伤细胞膜
C. 灭活酶类
D. 氧化作用
E. 烷化作用

A24. 0.2~0.5PPm氯进行饮水消毒的机制是
A. 氧化作用
B. 烷化作用
C. 损伤胞膜
D. 干扰代谢
E. 灭活酶类

A25. 去掉液体中的热原质用下列哪种方法
A. 加压蒸汽灭菌法
B. 煮沸法
C. 蒸馏法
D. 滤过法
E. 巴氏消毒法

C26. 外科手术时防止微生物进人伤口,此方法称为
A. sterilization
B. disinfection
C. asepsis operation   
D. antisepsis
E. infection 

A27. 下列消毒灭菌法哪种是错误的
A. 金属器械一漂白粉
B. 排泄物一漂白粉
C. 饮水一氯气
D. 含糖培养基一间歇灭菌法
E. 人或动物血清一滤过除菌

D28. 新生儿预防淋球菌所致脓漏眼的消毒剂是
A. 2%-4%龙胆紫
B. 0.1%高锰酸钾
C. 2%红汞
D. 1%硝酸银
E. 2%碘伏

C29. 动物免疫血清的除菌宜采用
A. 高压蒸汽灭菌
B. 干烤
C. 滤过除菌
D. 紫外线
E. 煮沸消毒

A30. 手术用金属器械宜采用
A. 高压蒸汽灭菌
B. 干烤
C. 滤过除菌
D. 紫外线
E. 煮沸消毒

