E1. 正常情况下,机体无菌的部位是:
A. 外耳道
B. 皮肤表面
C. 眼结膜
D. 粘膜表面
E. 血液内

E2. 人体微生物分布最多的部位是:
A. 呼吸道
B. 皮肤
C. 口腔
D. 胃
E. 肠道

A3. 正常菌群在医学上的意义主要是:
A. 拮抗病原菌
B. 营养作用
C. 免疫作用
D. 抗癌作用
E. 代谢作用

A4. 正常菌群的免疫作用是指:
A. 作为抗原刺激宿主产生免疫
B. 作为抗原使宿主致病
C. 构成生物屏障 
D. 促进消化吸收
E. 以上均不是

C5. 正常菌群成员引起感染的条件之一是:
A. 变为耐药菌
B. 发生基因突变
C. 异位寄生
D. 变为L型细菌
E. 发生S-R变异

C6. 关于机会性致病菌感染,下列叙述哪项正确?
A. 均为内源性感染
B. 均为医院内感染
C. 是二重感染的主要病原菌 
D. 近年感染率明显下降
E. 仅发生于免疫力低下的病人

E7. 下列属于医院内感染类型的是:
A. 外源性感染
B. 内源性感染
C. 交叉感染
D. 医源性感染
E. 以上都是

D8. 关于医院内感染,以下哪项错误:
A. 多由机会致病性微生物引起
B. 无特异性预防方法
C. 医护人员可成为病原携带者 
D. 原有慢性感染在医院急性发作也应属于医院内感染
E. 应采取综合性措施加强预防

E9. 引起菌群失调症的原因是: 
A. 生态制剂的大量使用
B. 正常菌群的遗传特性明显改变
C. 正常菌群的耐药性明显改变
D. 正常菌群的增殖方式明显改变
E. 正常菌群的组成和数量明显改变

A10. 关于正常菌群的描述,正确的是: 
A. 一般情况下,正常菌群对人体有益无害 
B. 肠道内的痢疾杆菌可产生碱性物质拮抗其他细菌 
C. 口腔中的正常菌群主要是需氧菌 
D. 即使是健康胎儿,也携带正常菌群
E. 在人的一生中,正常菌群的种类和数量保持稳定

D11. 有正常微生物群存在的部位是
A. 胃、肠道、腹腔
B. 鼻咽腔、眼结膜、脑脊液
C. 胆囊、肝脏、十二指肠
D. 尿道、口腔、外耳道
E. 皮肤、黏膜、淋巴液

D12. 肠道正常菌群中主要是
A. 需氧菌
B. 微需氧菌
C. 兼性厌氧菌
D. 厌氧菌
E. 真菌

E13. 肠道正常菌群中的厌氧菌是需氧菌的多少倍
A. 2~5
B. 5~10
C. 10~20
D. 10~100
E. 100~1000 

B14. 肠道正常微生物群中的真菌主要是
A. 新生隐球菌
B. 白假丝酵母菌
C. 曲霉
D. 毛霉
E. 肺抱子菌

E15. 胃肠道正常微生物群最多的部位是
A. 胃
B. 十二指肠
C. 空肠
D. 回肠
E. 结肠

A16. 胃肠道正常微生物群最少的部位是
A. 胃
B. 十二指肠
C. 空肠
D. 回肠
E. 结肠

A17. 关于二重感染的叙述,下列哪项是错误的
A. 是免疫功能缺陷的严重后果
B. 是微生态平衡失调的严重后果
C. 是菌群失调症的一种类型       
D. 是抗生素治疗原感染性疾病过程中的一种新感染
E. 是抗生素预防某些微生物感染过程中的一种新感染

E18. 二重感染是指
A. 两种细菌同时感染
B. 严重的菌群失调
C. 多种微生物同时感染
D. 某种微生物反复感染
E. 感染过程中的一种新感染

E19. 关于机会致病菌引起医院感染率上升原因的叙述,错误的是
A. 抗生素的广泛使用
B. 免疫抑制剂的广泛使用
C. 侵入性检查和治疗操作的增多
D. 诊疗技术增多 E缺乏理想疫苗

D20. 机会致病菌的主要特点不包括
A. 毒力弱或无明显毒力
B. 多为耐药菌或多重耐药菌
C. 新现机会致病菌逐渐增多
D. 新的致病菌逐渐增多
E. 菌种因感染年代、地域及抗生素使用情况等的不同而变化

D21. 关于耐药菌的叙述,不正确的是
A. 可以是天然耐药
B. 亦可以是获得性耐药
C. 临床治疗其感染极为棘手
D. 获得性耐药菌特别是多重耐药菌主要因染色体突变所致
E. 易在抗生素选择压力下于医院人群中传播,甚至爆发流行

A22. 使机体免疫功能降低的因素不包括使用
A. 抗菌药物
B. 免疫抑制剂
C. 激素
D. 细胞毒药物
E. 射线照射

E23. 治疗菌群失调症应使用
A. 维生素
B. 细菌素
C. 抗毒素
D. 纤维素
E. 微生态制剂

E24. 关于医院感染的微生物的叙述,下列哪项不正确
A. 细菌为主
B. 病毒和真菌为辅
C. 可以是致病菌
D. 可以是机会致病菌
E. 致病菌为主

B25. 长期口服广谱抗生素引起的腹泻多属于
A. 外源性感染
B. 内源性感染
C. 交叉感染
D. 环境感染
E. 潜伏感染。

B26. 引起医院感染的原核细胞型微生物主要是
A. 螺旋体
B. 细菌
C. 立克次体
D. 衣原体
E. 支原体

C27. 防止医院感染蔓延的主要措施
A. 消灭传染源
B. 保护易感者
C. 切断传播途径
D. 消毒灭菌
E. 合理使用抗生素

B28. 下列疾病不需要肠道隔离的是 
A. 霍乱
B. 乙型肝炎
C. 甲型肝炎
D. 肠热症
E. 细菌性痢疾

E29. 不是正常菌群致病条件的是
A. 寄生部位改变
B. 全身免疫功能低下
C. 局部免疫功能低下
D. 菌群失调             
E. 药物治疗

A30. 某70岁女因尿路感染于5天前开始服用氨苄青霉素。现出现腹泻。取便标本,培养出大量革兰阳性葡萄球菌。试问腹泻发生机制是
A. 菌群失调
B. 肠毒素使腺苷环化酶活性增加
C. 细菌侵袭肠粘膜所致
D. 内毒素作用于肠粘膜
E. 肠蠕动加快

