D1. 下列除哪项外,均为革兰染色的意义
A. 细菌的分类
B. 选择治疗药物
C. 鉴定细菌的依据  
D. 观察细菌结构
E. 与细菌致病性有关

E2. 不符合脑膜炎球菌送检标本要求的是
A. 采集标本注意无菌操作
B. 根据该病原菌主要存在部位取材   
C. 采集标本一般应在使用抗菌药物之前
D. 采集的标本要立即送检   
E. 标本送检过程中要保持低温和干燥   

A3. 不能用于细菌检测的方法是
A. 蚀斑测定
B. 噬菌体分型
C. 细菌素分型
D. 聚合酶链反应
E. 气液相色谱法

C4. 从有正常菌群存在的部位所采取的标本应接种在哪种培养基中分离培养病原菌
A. 增菌培养基
B. 营养培养基
C. 选择、鉴别培养基
D. 特殊培养基

D5. 关于直接涂片镜检的叙述,下列哪项是正确的 
A. 适用与所有细菌感染疾病的初步诊断
B. 方法简便易行   
C. 只适用与形态和染色性上具有特征的病原菌
D. 其结果必须结合临床表现方有诊断价值
E. 以上都不是

E6. 利用细菌生化反应鉴定细菌是根据
A. 细菌酶活性差异
B. 细菌毒素活性差异
C. 细菌酶含量的差异   
D. 细菌毒素种类的差异
E. 细菌分解代谢产物的差异

D7. 用马血清制备的抗毒素的缺点是
A. 制备较困难
B. 纯度不高
C. 产量低    
D. 可产生变态反应
E. 不易保存

D8. 丙种球蛋白的优点是
A. 来源广
B. 易制备
C. 易保存
D. 含多种微生物的抗体
E. 免疫效果好

B9. 向类毒素中加入佐剂氢氧化铝或磷酸铝便可制成
A. 内毒素
B. 精致类毒素
C. 外毒素
D. 神经毒素
E. 细胞毒素

A10. 抗毒素主要用于外毒素所致疾病的治疗和应急预防,但使用异种抗毒素时应注意下列何种问题的发生
A. I型超敏反应
B. II型超敏反应
C. III型超敏反应
D. IV型超敏反应
E. 以上都包括

A11. 关于血清丙种球蛋白,下列说法正确的是
A. 是从正常人血浆中提取的丙种球蛋白
B. 是从健康产妇的胎盘血液中提制而成  
C. 含有种类较单一的抗微生物特异性抗体   
D. 经长期进行放、化疗的肿瘤不宜使用该制剂   
E. 以上都正确

B12. 使用普通光学显微镜观察细菌的最佳放大倍数为
A. 10000倍
B. 1000倍
C. 400倍
D. 100倍
E. 500倍

A13. 以下关于电子显微镜,说法正确的是
A. 其能分辨1nm的微粒   
B. 当前使用的电子显微镜有两种,即投射电子显微镜和暗视野显微镜   
C. 电镜即可用于观察活的微生物也可以用于观测死的微生物   
D. 电镜标本不都需要在真空干燥的状态下观察    
E. 以上说法都正确

