[E]281176. 属于非选择性Ca2+通道阻滞药是
A. 硝苯地平
B. 胺碘酮
C. 地尔硫卓
D. 维拉帕米
E. 氟桂利嗪

[A]281177. 对药物最敏感的钙通道亚型是
A. L型
B. T型
C. N型
D. P型
E. H型

[B]281178. 维拉帕米对房室结的影响
A. 降低自律性，加快传导
B. 降低自律性，减慢传导
C. 缩短不应期，减慢传导
D. 缩短不应期，加快传导
E. 缩短不应期，降低自律性

[E]281179. 属于适度阻滞钠通道药（Ｉa类）的是：
A. 利多卡因
B. 维拉帕米
C. 胺碘酮
D. 氟卡尼
E. 普鲁卡因胺

[B]281180. 细胞外K＋浓度较高时能减慢传导，血K＋降低时能加速传导的抗心律失常药是：
A. 索他洛尔
B. 利多卡因
C. 丙吡胺
D. 氟卡尼
E. 胺碘酮

[B]281181. 决定传导速度的重要因素是：
A. 有效不应期
B. 膜反应性
C. 阈电位水平
D. 4相自动除极速率
E. 以上都不是

[B]281182. 选择性延长复极过程的药物是：
A. 普鲁卡因胺
B. 胺碘酮
C. 氟卡尼
D. 普萘洛尔
E. 普罗帕酮

[E]281183. 治疗窦性心动过缓的首选药是：
A. 肾上腺素
B. 异丙肾上腺素
C. 去甲肾上腺素
D. 多巴胺
E. 阿托品

[A]281185. 治疗强心甙中毒引起的窦性心动过缓和轻度房室传导阻滞最好选用：
A. 阿括品
B. 异丙肾上腺素
C. 苯妥英钠
D. 肾上腺素
E. 麻黄碱

[B]281186. 以奎尼丁为代表的ＩA类药的电生理是：
A. 明显抑制0相上升最大速率，明显抑制传导，APD延长
B. 适度抑制0相上升最大速率，适度抑制传导，APD延长
C. 轻度抑制0相上升最大速率，轻度抑制传导，APD不变
D. 适度抑制0相上升最大速率，严重抑制传导，APD缩短
E. 轻度抑制0相上升最大速率，轻度抑制传导，APD缩短

[A]281190. 有关胺碘酮的不良反应错误叙述是：
A. 可致窦性心动过速
B. 可发生尖端扭转型室性心律失常
C. 可发生肺纤维化
D. 可发生角膜色素沉着
E. 可致甲状腺功能亢进或减退

[D]281192. 对 Na+、K+、Ca2+通道都有阻滞作用的药物是：
A. 利多卡因
B. 维拉帕米
C. 苯妥英钠
D. 奎尼丁
E. 普萘洛尔

[C]281197. 对普萘洛尔的抗心律失常作用，下述哪一项是错误的：
A. 阻断β受体
B. 降低儿茶酚胺所致自律性
C. 治疗量延长浦肯野纤维APD和ERP
D. 延长房室结的ERP
E. 降低窦房结的自律性

[D]281198. 治疗室性心律失常的首选药物是：
A. 奎尼丁
B. 维拉帕米
C. 普萘洛尔
D. 利多卡因
E. 胺碘酮

[A]281201. 可引起金鸡纳反应的药物是：
A. 奎尼丁
B. 普鲁卡因胺
C. 胺碘酮
D. 普萘洛尔
E. 普罗帕酮

[D]281202. 长期应用能引起红斑狼疮样综合征的药物是：
A. 奎尼丁
B. 利多卡因
C. 普萘洛尔
D. 普鲁卡因胺
E. 苯妥英钠

[C]281204. 治疗急性心肌梗死所致室性心律失常的首选药物是：
A. 奎尼丁
B. 普萘洛尔
C. 利多卡因
D. 胺碘酮
E. 维拉帕米

[D]281228. 关于普鲁卡因胺的叙述下列哪项是正确的
A. 属Ib类抗心律失常药
B. 常用于室上性心动过速
C. 长期口服不良反应少见
D. 药理作用与奎尼丁相似而较弱
E. 快代谢者易发生红斑性狼疮样综合症

[A]281232. 有抗胆碱和阻滞α受体作用的药物是
A. 奎尼丁
B. 普萘洛尔
C. 利多卡因
D. 胺碘酮
E. 美西律

[E]281237. 属于适度阻滞钠通道的药物（Ia类）
A. 利多卡因
B. 维拉帕米
C. 胺碘酮
D. 氟卡尼
E. 普鲁卡因胺

[A]281246. 维拉帕米的主要作用部位
A. 窦房结和房室结
B. 浦氏纤维和心室肌
C. 心房肌和心室肌
D. 心房肌和浦氏纤维
E. 窦房结和心房肌

