[A]281318. 可作为吗啡成瘾者戒毒的抗高血压药物是：
A. 可乐定
B. 甲基多巴
C. 利血平
D. 胍乙啶
E. 硝普钠

[D]281320. 哌唑嗪引起降压反应时较少引起心率加快的原因　：
A. 抗α1及β受体
B. 抗α2受体
C. 抗α1及α2受体
D. 抗α1受体，不抗α2受体
E. 以上都不是

[B]281321. 治疗伴有溃疡病的高血压病人首选：
A. 利血平
B. 可乐定
C. 甲基多巴
D. 肼屈嗪
E. 米诺地尔

[B]281323. 对肾功能不良的高血压病人最好选用：
A. 利血平
B. 可乐定
C. 普萘洛尔
D. 硝普钠
E. 胍乙啶

[C]281324. 治疗高血压危象时可首选：
A. 利血平
B. 胍乙啶
C. 硝普钠
D. 甲基多巴
E. 氢氯噻嗪

[D]281325. 肼屈嗪和下列哪种药物合用既可增加降压效果又可减轻心悸的不良反应：
A. 二氮嗪
B. 米诺地尔
C. 哌唑嗪
D. 普萘洛尔
E. 氢氯噻嗪

[B]281326. 高血压伴稳定型心绞痛病人宜选用：
A. 硝苯地平
B. 普萘洛尔
C. 肼屈嗪
D. 氢氯噻嗪
E. 卡托普利

[C]281328. 在长期用药的过程中，突然停药易引起严重高血压，这种药物最可能是：
A. 哌唑嗪
B. 肼屈嗪
C. 普萘洛尔
D. 甲基多巴
E. 利血平

[E]281329. 静脉注射较大剂量可引起血压短暂升高的降压药是：
A. 哌唑嗪
B. 甲基多巴
C. 二氮嗪
D. 肼屈嗪
E. 可乐定

[E]281332. 肾性高血压宜选用：
A. 氢氯噻嗪
B. 硝苯地平
C. 美托洛尔
D. 哌唑嗪
E. 卡托普利

[D]281337. 下列关于卡托普利，错误的叙述项是：
A. 降低外周血管阻力
B. 可用于治疗慢性心功能不全
C. 与利尿药合用可增强其降压作用
D. 可增加体内醛固酮水平
E. 双侧肾动脉狭窄的患者忌用

[D]281339. 长期使用利尿药的降压机制主要是：
A. 排Na+利尿，降低血容量
B. 降低血浆肾素活性
C. 增加血浆肾素活性
D. 减少小动脉壁细胞内Na+
E. 抑制醛固酮分泌

[C]281340. 用于高血压危象伴心衰的降压药物是
A. 肼屈嗪
B. 米诺地尔
C. 硝普钠
D. 普萘洛尔
E. 拉贝洛尔

[A]281346. 下列何药可翻转肾上腺素的升压效应
A. 酚妥拉明
B. 阿替洛尔
C. 利血平
D. 阿托品
E. 氢氯噻嗪

[E]281348. 低血钾症病人使用利尿药，应选
A. 氢氯噻嗪
B. 苄氟噻嗪
C. 布美他尼
D. 呋噻米
E. 氨苯蝶啶

[E]281404. 能增加地高辛毒性的药物是：
A. 氯化钾
B. 螺内酯
C. 苯妥英钠
D. 哌唑嗪
E. 奎尼丁

[C]281406. 强心苷的利尿作用主要是由于：
A. 抑制抗利尿素的分泌
B. 抑制肾小管膜ATP酶
C. 增加肾血流量
D. 增加交感神经活力
E. 继发性醛固酮增多症

[C]281407. 用于治疗心功能不全的β受体激动剂：
A. 卡托普利
B. 美托洛尔
C. 多巴酚丁胺
D. 氨力农
E. 异丙肾上腺素

[A]281408. 治疗洋地黄引起的室性早搏最好选用：
A. 利多卡因
B. 奎尼丁
C. 普鲁卡因胺
D. 普萘洛尔
E. 溴苄铵

[E]281410. 下列哪项不属于地高辛的不良反应
A. 室上性或室性心律失常
B. 房室传导障碍
C. 头痛、眩晕等神经症状
D. 厌食、恶心、呕吐等胃肠道反应
E. 粒细胞减少、血小板减少等造血系统疾病

[E]281411. 卡托普利治疗充血性心力衰竭的作用是
A. 逆转左室肥厚
B. 降低全身血管阻力
C. 降低充血性心力衰竭的病死率和改善预后
D. 降低室壁肌张力，改善心舒张功能
E. 以上都是

[D]281413. 硝普钠治疗心衰的药理学根据是
A. 降低心输出量
B. 减慢心率
C. 降低血压
D. 扩张动、静脉，降低心脏前后负荷
E. 改善冠脉血流

[A]281414. 下列哪一药物可能使充血性心力衰竭恶化，增加病死率
A. 硝苯地平
B. 氢氯噻嗪
C. 地高辛
D. 卡托普利
E. 硝普钠

[A]281416. 氨力农治疗心力衰竭主要的药理作用是
A. 正性肌力作用
B. 负性频率作用
C. 抑制房室传导
D. 兴奋心肌β1受体
E. 收缩外周血管

[E]281418. 氨氯地平治疗心力衰竭的药理学基础是
A. 正性肌力作用
B. 增强自律性作用
C. 负性频率作用
D. 缩短有效不应期
E. 扩张小动脉，减轻心后负荷，改善左室功能

[D]281419. 解除地高辛致死性中毒最好选用
A. 氯化钾静脉滴注
B. 利多卡因
C. 苯妥英钠
D. 地高辛抗体
E. 普鲁卡因胺心腔注射

[C]281421. 强心苷的负性频率作用是因为
A. β受体阻断作用引起
B. α受体阻断作用引起
C. 反射性兴奋迷走神经
D. 反射性兴奋交感神经
E. 以上都不是

[B]281423. 强心苷对心肌的电生理作用下列哪一项是错误的
A. 使窦房结自律性降低
B. 使浦肯野纤维自律性降低
C. 使房室结传导性降低
D. 使心房有效不应期缩短
E. 使浦肯野纤维有效不应期缩短

[A]281426. 强心苷主要用于治疗下列哪类充血性心力衰竭
A. 心肌缺血、高血压、甲状腺功能亢进等所引起的充血性心力衰竭
B. 肺源性心脏病、严重心肌损伤或活动性心肌炎的充血性心力衰竭
C. 继发于严重贫血、甲亢及维生素B1缺乏症的充血性心力衰竭
D. 心肌外机械因素引起的充血性心力衰竭
E. 严重二尖瓣狭窄及缩窄性心包炎引起的充血性心力衰竭

[E]281431. 女，46岁，有风湿性二尖瓣关闭不全心脏病多年，近3～5天气短加重，心慌，有时夜间出现阵发性呼吸困难，检查左室舒张期充盈压高于2kPA，端坐呼吸，两肺湿啰音，心率130次／分，偶有室性早搏。除给地高辛、利尿剂外，宜配合使用
A. 多巴胺
B. 硝苯地平
C. 肾上腺素
D. 去甲肾上腺素
E. 硝普钠

