[A]281527. 氨甲苯酸的作用机制是
A. 对抗纤溶酶原激活因子
B. 激活血浆中的凝血因子
C. 诱导血小板聚集
D. 抑制抗凝血酶Ⅲ的活性
E. 促进凝血因子的合成

[D]281528. 维生素K的作用机制是
A. 抑制抗凝血酶Ⅲ
B. 促进血小板聚集
C. 抑制纤溶酶
D. 作为羧化酶的辅酶参与凝血因子的合成
E. 竞争性对抗纤溶酶原激活因子

[C]281529. 口服铁剂，最常见的不良反应是
A. 过敏反应
B. 高血压
C. 胃肠道刺激症状
D. 嗜睡
E. 出血倾向

[B]281531. 对于甲氨蝶呤所引起的巨幼红细胞性贫血，应选用
A. 铁剂
B. 甲酰四氢叶酸钙
C. 叶酸
D. 红细胞生成素
E. 维生素C

[B]281532. 可减弱香豆素类抗凝作用的药物是
A. 水杨酸钠
B. 苯巴比妥
C. 广谱抗生素
D. 血小板抑制剂
E. 甲磺丁脲

[A]281533. 现认为肝素的作用机制是
A. 增强ATⅢ作用，后者是凝血因子所含丝氨酸残基蛋白酶的抑制剂
B. 增强ATⅢ作用，后者是凝血因子所含精氨酸残基蛋白酶的抑制剂
C. 增强ATⅢ作用，后者是凝血因子所含谷氨酸残基蛋白酶的抑制剂
D. 肝素直接与凝血因子结合，水解活化的凝血因子
E. 增强ATⅢ灭活所有蛋白质凝血因子作用

[A]281534. 肝素增强抗凝血酶Ⅲ灭活下列哪组凝血因子
A. IIa、IXa、Xa、XIa 、XIIa
B. IIa、IIIa、VIIa、XIa 、XIIa
C. IIa、VIIIa、VIIa、XIa 、XIIa
D. IIa、IIIa、VIIa、Xa 、XIIa
E. IIa、VIIIa、VIIa、Xa 、XIIa

[D]281535. 与普通肝素相比，低分子量肝素抗凝作用特点是
A. 对凝血因子Ⅱ、Ⅶa灭活作用强，对Ⅹa作用弱
B. 对凝血因子Ⅱ、Ⅸa灭活作用强，对Ⅹa作用弱
C. 对凝血因子Ⅹ、Ⅺa灭活作用强，对Ⅱa作用弱
D. 对凝血因子Ⅹ、Ⅻa灭活作用强，对Ⅱa作用弱
E. 对凝血因子Ⅹ、Ⅸa灭活作用强，对Ⅱa作用弱

[A]281536. 维生素K促凝血作用机制是
A. 在肝脏中参与凝血因子的合成
B. 在血液中提高凝血因子的活性
C. 在血液中提高血小板的功能
D. 在组织促进外源性凝血过程
E. 在组织抑制纤溶酶原激活

[A]281539. 体内、体外均有抗凝作用的药物是
A. 肝素
B. 香豆素类
C. 枸櫞酸钠
D. 链激酶
E. 阿司匹林

[B]281540. 阿司匹林的抗血栓作用适用于
A. 上呼吸道感染时解热
B. 缺血性心脏病如心肌梗死和心绞痛的治疗和预防
C. 慢性钝痛
D. 血栓栓塞性疾病
E. 慢性胃出血

[E]281543. 肝素过量中毒时的出血，解救药物是
A. 氨甲苯酸
B. 尿激酶
C. 垂体后叶素
D. 维生素K
E. 鱼精蛋白

[B]281545. 一个7岁男童，患缺铁性贫血，治疗药物是
A. 叶酸制剂
B. 右旋糖酐铁的制剂
C. 硫酸亚铁片剂
D. 枸盐酸铁铵注射剂
E. 维生素B12注射剂

[C]281549. 链激酶的溶栓作用靶点是
A. 纤维蛋白
B. 血小板
C. 内源性纤维蛋白溶解酶原
D. 纤维蛋白溶解酶原激活物
E. 凝血酶

[B]281557. 肝素及双香豆素均可用于
A. 弥散性血管内凝血
B. 血栓栓塞性疾病
C. 体外循环抗凝
D. 高脂血症
E. 脑溢血

[D]281561. 有中枢兴奋作用的H1受体阻断药是
A. 苯海拉明
B. 异丙嗪
C. 氯苯那敏
D. 苯茚胺
E. 茶苯海明

[A]281564. 对于哮喘持续状态应选用
A. 静脉点滴氢化可的松
B. 口服麻黄碱
C. 气雾吸入色甘酸二钠
D. 气雾吸入丙酸倍氯米松
E. 口服沙丁胺醇

[D]281500. 甲酰四氢叶酸主要用于：
A. 缺铁性贫血
B. 营养性巨幼细胞贫血
C. 恶性贫血
D. 长期使用叶酸对抗剂所致的巨幼红细胞贫血
E. 再生障碍性贫血

[E]281501. 噻氯匹啶的作用机制是：
A. 阻止维生素K的作用
B. 增强抗凝血酶Ⅲ的作用
C. 激活纤溶酶
D. 抑制环加氧酶
E. 抑制血小板聚集

[D]281509. 治疗恶性贫血宜用：
A. 硫酸亚铁
B. 叶酸
C. 甲酰四氢叶酸钙
D. 维生素B12
E. 红细胞生成素

[D]281565. 选择性对β2受体有较强激动作用的平喘药是
A. 异丙肾上腺素
B. 肾上腺素
C. 麻黄碱
D. 沙丁胺醇
E. 色甘酸二钠

[C]281566. 糖皮质激素治疗哮喘的主要机制是
A. 提高中枢神经系统的兴奋性
B. 激动支气管平滑肌上的β2受体
C. 抗炎、抗过敏作用
D. 激活腺苷酸环化酶
E. 阻断M受体

[B]281567. 色甘酸二钠预防哮喘发作的主要机制是
A. 直接松弛支气管平滑肌
B. 稳定肥大细胞膜，抑制过敏介质释放
C. 阻断腺苷受体
D. 促进儿茶酚胺释放
E. 激动β2受体

[E]281568. 可待因主要用于
A. 支气管哮喘
B. 肺炎引起的咳嗽
C. 多痰、粘痰引起的剧咳
D. 感冒初期的轻度咳嗽
E. 剧烈的刺激性干咳

[B]281569. 伴有冠心病的支气管哮喘发作应选用
A. 沙丁胺醇
B. 氨茶碱
C. 异丙肾上腺素
D. 色甘酸二钠
E. 肾上腺素

[A]281571. 氨茶碱的平喘机制主要是
A. 促进肾上腺素和去甲肾上腺素的释放
B. 激活磷酸二酯酶
C. 抑制磷酯酶A2
D. 激活腺苷酸环化酶
E. 抑制鸟苷酸环化酶

[A]281574. 糖皮质激素平喘的机制是
A. 抗炎、抗过敏作用
B. 阻断M受体
C. 激活腺苷酸环化酶
D. 提高中枢神经系统的兴奋性
E. 直接松弛支气管平滑肌

[B]281577. 对 β2受体有较强选择性的平喘药是
A. 吲哚洛尔
B. 克伦特罗
C. 异丙肾上腺素
D. 多巴酚丁胺
E. 肾上腺素

[C]281582. 下列哪种药物对哮喘急性发作迅速有效
A. 倍氯米松
B. 色苷酸钠
C. 沙丁胺醇吸入
D. 口服氨茶碱
E. 以上都不是

[C]281583. 预防支气管哮喘发作的首选药物是
A. 肾上腺素
B. 异丙肾上腺素
C. 麻黄碱
D. 异丙基阿托品
E. 以上都不是

[B]281584. 用于平喘的M胆碱受体阻断药是
A. 哌仑西平
B. 异丙基阿托品
C. 阿托品
D. 后阿托品
E. 氨茶碱

[A]281585. 用于平喘的腺苷受体阻断药是
A. 氨茶碱
B. 异丙基阿托品
C. 色苷酸钠
D. 奈多罗米
E. 麻黄碱

