[B]281612. 阻断胃壁细胞H+泵的抗消化性溃疡药是：
A. 米索前列醇
B. 奥美拉唑
C. 丙谷胺
D. 丙胺太林
E. 米西替丁

[B]281613. 长期使用可引起阳痿的抗消化性溃疡药是：
A. 氢氧化铝
B. 西咪替丁
C. 哌仑西平
D. 米索前列醇
E. 硫糖铝

[B]281614. 对细胞色素P-450肝药酶活性抑制较强的药物是：
A. 雷尼替丁
B. 西咪替丁
C. 法莫替丁
D. 尼扎替丁
E. 奥美拉唑

[E]281615. 有安定作用的抗消化性溃疡药是：
A. 阿托品
B. 哌仑西平
C. 丙胺太林
D. 异丙基阿托品
E. 胃复康

[B]281618. 西咪替丁抑制胃酸分泌的机制是
A. 阻断M胆碱受体
B. 阻断H2受体
C. 阻断H1受体
D. 保护胃粘膜
E. 中和胃酸

[B]281619. 哌仑西平抑制胃酸分泌的机制是
A. 阻断H2受体
B. 阻断M1受体
C. 阻断N1受体
D. 胃壁细胞H-泵抑制药
E. 阻断胃泌素受体

[D]281620. 米索前列醇禁用于妊娠妇女的原因是
A. 升高血压作用
B. 胃肠道反应
C. 致畸作用
D. 子宫收缩作用
E. 引起胃出血

[B]281623. 对组胺H2受体具有阻断作用的药物是
A. 哌仑西平
B. 雷尼替丁
C. 丙谷胺
D. 甲硝唑
E. 以上都不是

[A]281628. 奥美拉唑属于
A. H+-K+-ATP酶抑制剂
B. H2受体阻断药
C. M受体阻断药
D. 胃泌素受体阻断药
E. Na+-K+-ATP酶抑制剂

[D]281631. 氢氧化铝和三硅酸镁联合用药的目的
A. 防止产气
B. 延长作用时间
C. 防止药物吸收
D. 减少胃肠道反应
E. 降低神经毒性

[E]281638. 糖皮质激素和抗生素合用治疗严重感染的目的是：
A. 消除抗生素的副作用
B. 增强抗生素的抗菌活性
C. 增强机体应激性
D. 增强机体防御功能
E. 抗毒、抗休克、缓解毒血症状

[B]281639. 糖皮质激素用于严重中毒性感染及各种休克，可采用：
A. 小剂量快速静脉给药
B. 大剂量突击静脉给药
C. 小剂量口服替代疗法
D. 一般剂量长期口服
E. 大剂量长期静脉给药

[E]281640. 糖皮质激素类药物与蛋白质代谢相关的不良反应是：
A. 精神失常
B. 向心性肥胖
C. 高血压
D. 痤疮
E. 伤口愈合迟缓

[A]281642. 下列糖皮质激素类药物中抗炎作用最强的是：
A. 地塞米松
B. 泼尼松
C. 泼尼松龙
D. 可的松
E. 氢化可的松

[C]281643. 长期应用糖皮质激素，突然停药产生反跳现象的原因是
A. 医源性肾上腺皮质功能亢进
B. 垂体功能亢进
C. 病人对激素产生依赖性或症状尚未被充分控制
D. 下丘脑-垂体-肾上腺皮质系统功能减退
E. ACTH分泌突然增加

[B]281645. 泼尼松合用苯巴比妥时药效降低的原因是
A. 泼尼松吸收减少
B. 泼尼松肝内代谢加强
C. 降低泼尼松的生物利用度
D. 泼尼松排泄增加
E. 泼尼松与血浆蛋白结合率增加

[D]281647. 糖皮质激素诱发和加重溃疡病的原因不包括
A. 使胃酸分泌增加
B. 抑制胃黏液分泌
C. 使胃蛋白酶分泌增加
D. 直接刺激胃黏膜
E. 减弱PG的胃黏膜保护作用

[D]281648. 严重肝、肾功能不良患者，应用糖皮质激素全身治疗时应选用
A. 氟轻松
B. 氟轻可的松
C. 泼尼松
D. 氢化可的松
E. 他莫昔芬

[A]281650. 糖皮质激素可用于治疗支气管哮喘是由于
A. 抑制前列腺素和白三烯的生成
B. 直接扩张支气管
C. 使血液中淋巴细胞增多
D. 兴奋β受体
E. 使NO生成增加

[D]281653. 糖皮质激素对消化系统的影响错误的描述是
A. 抑制食欲，减弱消化
B. 便秘
C. 抑制胃黏液分泌
D. 减少胃酸与胃蛋白酶分泌
E. 诱发和加重溃疡

[B]281656. 关于糖皮质激素对血液成分的影响错误的叙述是
A. 使血小板增多
B. 降低纤维蛋白原浓度
C. 使红细胞和血红蛋白含量增加
D. 使中性粒细胞数增多
E. 抑制中性粒细胞的游走和吞噬功能

[B]281659. 糖皮质激素的禁忌症是
A. 结核性脑膜炎
B. 水痘发高烧
C. 风湿性心肌炎
D. 支气管哮喘
E. 过敏性皮炎伴局部感染

[C]281660. 属于长效糖皮质激素类的药物是
A. 氢化可的松
B. 泼尼松
C. 地塞米松
D. 氟轻松
E. 可的松

[E]281661. 长期应用糖皮质激素出现类肾上腺皮质功能亢进综合症时错误的处理是
A. 应用降压药
B. 应用降糖药
C. 口服氯化钾
D. 低盐、低糖饮食
E. 低蛋白饮食

[D]281665. 需在体内转化后才能发挥作用的糖皮质激素类药物是
A. 氢化可的松
B. 地塞米松
C. 泼尼松龙
D. 泼尼松
E. 倍他米松

[C]281677. 糖皮质激素的药理作用不包括：
A. 抗炎
B. 抗免疫
C. 抗病毒
D. 抗休克
E. 抗过敏

[D]281683. 糖皮质激素小剂量替代疗法用于：
A. 再生障碍性贫血
B. 粒细胞减少症
C. 血小板减少症
D. 阿狄森病
E. 结缔组织病

[A]281687. 地塞米松适用于下列哪种疾病的治疗？
A. 再生障碍性贫血
B. 水痘
C. 带状疱疹
D. 糖尿病
E. 霉菌感染

[A]281688. 长期大量应用糖皮质激素的副作用是：
A. 骨质疏松
B. 粒细胞减少症
C. 血小板减少症
D. 过敏性紫癜
E. 枯草热

[D]281695. 治疗伴高血压的慢性活动性风湿性关节炎宜首选：
A. 泼尼松龙
B. 泼尼松
C. 地塞米松
D. 阿司匹林
E. 保泰松

