[E]281714. 碘化物不能单独用于甲亢内科治疗的原因是：
A. 使甲状腺组织退化
B. 使腺体增大、肥大
C. 使甲状腺功能减退
D. 使甲状腺功能亢进
E. 失去抑制激素合成的效应

[B]281715. 能抑制外周组织的T4转变成T3的抗甲状腺药是：
A. 甲硫氧嘧啶
B. 丙硫氧嘧啶
C. 他巴唑
D. 卡比马唑
E. 大剂量碘剂

[A]281717. 甲状腺危象的治疗主要采用：
A. 大剂量碘剂
B. 小剂量碘剂
C. 大剂量硫脲类药物
D. 普萘洛尔
E. 甲状腺素

[B]281718. 硫脲类抗甲状腺药物的严重不良反应主要是：
A. 高血压
B. 粒细胞缺乏症
C. 肝功能损害
D. 过敏反应
E. 骨质疏松

[C]281720. 甲状腺功能亢进术前给予复方碘溶液的目的是：
A. 增强病人对手术的耐受性
B. 使甲状腺腺体变大，便于手术操作
C. 使甲状腺腺体变小，血管网减少，变韧，利于手术
D. 抑制呼吸道腺体分泌
E. 降低血压

[A]281721. 治疗粘液性水肿应选用：
A. 甲状腺激素
B. 甲硫氧嘧啶
C. 丙硫氧嘧啶
D. 碘化钾
E. 卡比马唑

[C]281725. 甲亢病人手术前服用丙基硫氧嘧啶出现甲状腺肿大时，应如何处理？
A. 停服硫脲类药物
B. 减量加服甲状腺素
C. 加服大剂量碘剂
D. 停药改服甲巯咪唑
E. 改用甲亢平

[B]281727. 甲亢术前给予复方碘溶液，有利于手术的机制是
A. 抑制谷胱甘肽还原酶
B. 抑制TSH使腺体增生的作用
C. 抑制过氧化物酶，减少激素合成
D. 抑制腺泡细胞摄碘
E. 促进腺泡细胞摄碘

[B]281728. 宜选用大剂量碘制剂治疗的疾病是
A. 黏液性水肿
B. 甲状腺危象
C. 轻症甲亢内科治疗
D. 结节性甲状腺肿
E. 弥漫性甲状腺肿

[C]281730. 甲亢术前准备用硫脲类抗甲状腺药的主要目的是
A. 使甲状腺血管减少，减少手术出血
B. 使甲状腺体缩小变韧，有利于手术进行
C. 使甲状腺功能恢复或接近正常，防止术后发生甲状腺危象
D. 防止手术过程中血压下降
E. 使甲状腺功能恢复或接近正常，防止术后甲状腺功能低下

[D]281736. 抗甲状腺药中能诱发甲亢的是
A. 甲硫氧嘧啶
B. 甲硫咪唑
C. 卡比马唑
D. 大剂量碘化物
E. 普萘洛尔

[C]281737. 有关硫脲类药表述错误的是
A. 大剂量时抑制甲状腺过氧化物酶而抑制甲状腺激素合成
B. 甲亢一般症状改善需2～3周，基础代谢恢复需1～2月
C. 不易通过胎盘
D. 易进入乳汁，哺乳妇女禁用
E. 抑制免疫球蛋白的生成，使血循环中TSH下降

[C]281739. 硫脲类药最严重的不良反应是
A. 甲状腺功能减退
B. 药疹
C. 粒细胞缺乏症
D. 甲状腺肿
E. 消化道反应

[D]281740. 妊娠伴有严重甲亢的首选药是
A. 甲状腺素
B. 小剂量碘剂
C. 甲亢平
D. 丙硫氧嘧啶
E. 放射性碘

[B]281741. 丙硫氧嘧啶与甲亢平作用机制的不同点是
A. 抑制甲状腺激素的合成
B. 抑制外周组织的T4转化为T3
C. 免疫抑制作用
D. 不抑制甲状腺激素的释放
E. 抑制甲状腺过氧化物酶

[B]281748. 可进入乳汁并通过胎盘引起新生儿甲状腺肿的药物是
A. 丙硫氧嘧啶
B. 碘化物
C. 普萘洛尔
D. 卡比吗咪
E. 甲状腺素

[E]281751. 可用于甲状腺机能检查的药物是
A. 心得安
B. 丙硫氧嘧啶
C. 小剂量碘剂
D. 大剂量碘剂
E. 放射性碘

[B]281752. 甲亢术前准备正确给药应该是
A. 先给碘化物，术前两周再给硫脲类
B. 先给硫脲类，术前两周再给碘化物
C. 只给硫脲类
D. 只给碘化物
E. 两者都不给

[E]281765. 糖尿病病人大手术时宜选用正规胰岛素治疗的理由是：
A. 改善糖代谢
B. 改善脂肪代谢
C. 改善蛋白质代谢
D. 避免胰岛素耐受性
E. 防止和纠正代谢紊乱恶化

[E]281766. 糖尿病酮症酸中毒时宜选用：
A. 精蛋白锌胰岛素
B. 低精蛋白锌胰岛素
C. 珠蛋白锌胰岛素
D. 氯磺丙脲
E. 大剂量胰岛素

[A]281767. 糖尿病病人合并重度感染宜用大剂量胰岛素的理由是：
A. 血中抗胰岛素物质增多
B. 血中大量游离脂肪妨碍葡萄糖的摄取利用
C. 产生抗胰岛素受体抗体
D. 胰岛素受体数目减少
E. 靶细胞膜上葡萄糖转运系统失常

[C]281768. 可降低磺酰脲类药物降血糖作用的药物是：
A. 保秦松
B. 水杨酸钠
C. 氯丙嗪
D. 青霉素
E. 双香豆素

[E]281769. 可使磺酰脲类游离药物浓度升高的药物是：
A. 氯丙嗪
B. 糖皮质激素
C. 噻嗪类利尿药
D. 口服避孕药
E. 青霉素

[B]281770. 双胍类药物治疗糖尿病的机制是：
A. 增强胰岛素的作用
B. 促进组织摄取葡萄糖等
C. 刺激内源性胰岛素的分泌
D. 阻滞ATP敏感的钾通道
E. 增加靶细胞膜上胰岛素受体的数目

[A]281773. 可以静脉注射的胰岛素制剂是：
A. 正规胰岛素
B. 低精蛋白锌胰岛素
C. 珠蛋白锌胰岛素
D. 精蛋白锌胰岛素
E. 甘精胰岛素

