[D]281939. 可通过炎症脑膜进入脑脊液的药物是
A. 洛美沙星
B. 氧氟沙星
C. 依诺沙星
D. 培氟沙星
E. 氟罗沙星

[A]281986. 通过抑制胸苷酸合成酶，使DNA合成受阻的抗病毒药是
A. 碘苷
B. 金刚烷胺
C. 阿昔洛韦
D. 利巴韦林
E. 阿糖腺苷

[C]281988. 男，40岁，双脚趾间痒，经常起水泡，脱皮多年，细菌学检查有癣菌，病人不宜用
A. 酮康唑
B. 咪康唑
C. 两性霉素B
D. 氟康唑
E. 灰黄霉素

[D]281989. 对DNA和RNA病毒感染均有效的广谱抗真菌药是
A. 碘苷
B. 金刚烷胺
C. 阿昔洛韦
D. 利巴韦林
E. 阿糖腺苷

[C]281990. 在下列药物中，抗疱疹病毒作用最强的是
A. 碘苷
B. 金刚烷胺
C. 阿昔洛韦
D. 利巴韦林
E. 阿糖腺苷

[B]281991. 有关灰黄霉素的错误叙述项是
A. 油脂食物可促进肠道吸收
B. 局部外用对浅表真菌感染有效
C. 对深部真菌和细菌无效
D. 干扰真菌核酸合成
E. 与青霉素可能有交叉过敏

[D]281992. 可局部用于口腔、皮肤、阴道念珠菌病的药物是
A. 多粘菌素
B. 两性霉素B
C. 灰黄霉素
D. 制霉菌素
E. 四环素

[A]281993. 咪唑类抗真菌药的作用机制是
A. 抑制细胞膜类固醇合成，使其通透性增加
B. 阻止核酸合成
C. 抑制二氢叶酸合成酶
D. 抑制二氢叶酸还原酶
E. 抑制蛋白质合成

[D]281995. PAS是一种抑制结核杆菌的药物，在抗结核治疗中，PAS常与异烟肼、利福平、吡嗪酰胺或乙胺丁醇合用，联合用药的目的是
A. 减少异烟肼的神经毒性
B. 增强吡嗪酰胺的抗菌作用
C. 使结核杆菌对其他药物敏感
D. 延缓结核菌耐药性产生
E. 减缓乙胺丁醇对视神经的毒害

[C]281996. 不属于一线抗结核药的是
A. 异烟肼
B. 链霉素
C. 对氨水杨酸
D. 吡嗪酰胺
E. 乙胺丁醇

[D]281997. 一女性糖尿病患者合并肺浸润性肺结核，以甲苯磺丁脲控制糖尿，以利福平、异烟肼、链霉素控制肺结核，在服用抗痨药二月后，发现糖尿病加重，而且出现肝功能损害，其原因是
A. 病人感染了肝炎
B. 链霉素损害了肾
C. 甲苯磺丁脲有肝毒性
D. 利福平诱导肝药酶
E. 以上都不是

[D]281999. 下列抗结核药中属于广谱抗生素的是
A. 异烟肼
B. PAS
C. 链霉素
D. 利福平
E. 乙胺丁醇

[D]282002. 下列药物中，抗结核菌作用强，对纤维化病灶中结核菌有效的是
A. 链霉素
